#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=12.500 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
13,0.106825,3.5442,5.3635,-2.7669,14.8726,14.0864,13.094,12.5546,12.1437,11.1613,11.0214,10.6646
14,0.116847,3.5524,5.3173,-2.6487,14.4242,13.6831,12.7316,12.1934,11.7832,10.866,10.7318,10.3827
15,0.128158,3.5609,5.2709,-2.5284,13.9758,13.2755,12.365,11.8323,11.425,10.5633,10.4344,10.0932
16,0.140718,3.5688,5.2282,-2.4134,13.5534,12.8881,12.0158,11.4929,11.0907,10.2718,10.1477,9.814
17,0.153627,3.5754,5.1937,-2.3144,13.1984,12.5592,11.7174,11.2059,10.8096,10.0208,9.9004,9.5727
18,0.165809,3.5806,5.1672,-2.2343,12.917,12.2965,11.4776,10.9767,10.5858,9.8176,9.6998,9.3766
19,0.177412,3.5847,5.1451,-2.1661,12.6816,12.0757,11.2752,10.7837,10.3977,9.6448,9.529,9.2097
20,0.189421,3.5884,5.1242,-2.1019,12.4622,11.8693,11.0854,10.6031,10.2219,9.4821,9.3679,9.0522
21,0.204128,3.5924,5.1007,-2.0302,12.2209,11.6415,10.8749,10.4029,10.0271,9.3004,9.188,8.8763
22,0.22562,3.5973,5.0712,-1.9378,11.9141,11.3507,10.6054,10.1468,9.7781,9.0666,8.9564,8.6494
23,0.248003,3.6018,5.0457,-1.8537,11.6385,11.0885,10.3614,9.915,9.553,8.8541,8.7458,8.443
24,0.267678,3.6052,5.0258,-1.7867,11.4227,10.8822,10.1681,9.731,9.3742,8.6844,8.5777,8.2781
25,0.284775,3.6079,5.0121,-1.7349,11.2565,10.7229,10.0185,9.5884,9.2355,8.5529,8.4473,8.1504
26,0.298721,3.6099,5.0031,-1.6967,11.1336,10.605,9.9076,9.4826,9.1328,8.4555,8.3508,8.0562
27,0.308503,3.6113,4.998,-1.6722,11.0545,10.5291,9.8362,9.4147,9.0668,8.393,8.2889,7.9957
28,0.314825,3.612,4.9967,-1.6592,11.0124,10.4888,9.7982,9.3785,9.0316,8.3597,8.256,7.9636
29,0.319278,3.6127,4.9947,-1.6484,10.9762,10.4542,9.766,9.3479,9.002,8.3318,8.2284,7.9368
30,0.322825,3.6133,4.992,-1.6388,10.9456,10.4249,9.7383,9.3216,8.9763,8.3075,8.2044,7.9133
31,0.326102,3.6137,4.9921,-1.6325,10.9235,10.404,9.7189,9.3034,8.9588,8.2913,8.1884,7.8979
32,0.329903,3.6143,4.9887,-1.6219,10.8892,10.371,9.6878,9.2737,8.93,8.264,8.1614,7.8714
33,0.334369,3.6152,4.9859,-1.6103,10.8508,10.3344,9.6534,9.2411,8.8984,8.2343,8.1321,7.8431
34,0.339286,3.6161,4.9817,-1.5965,10.805,10.2906,9.6123,9.2021,8.8607,8.1989,8.0971,7.809
35,0.34453,3.6171,4.9771,-1.5815,10.7553,10.243,9.5677,9.1599,8.8198,8.1605,8.0592,7.7721
36,0.350263,3.6182,4.9723,-1.5653,10.7018,10.1918,9.5197,9.1143,8.7758,8.1193,8.0183,7.7325
37,0.356902,3.6194,4.967,-1.5474,10.6427,10.1354,9.4666,9.0639,8.727,8.0733,7.9729,7.6884
38,0.365468,3.6207,4.9603,-1.5251,10.5708,10.0666,9.4017,9.002,8.6668,8.0166,7.9166,7.6336
39,0.410917,3.6301,4.9112,-1.386,10.1036,9.6205,8.9851,8.6086,8.2868,7.6615,7.5651,7.292
40,0.42113,3.6328,4.8987,-1.352,9.9849,9.5076,8.88,8.5099,8.1919,7.5739,7.4787,7.2089
41,0.429357,3.6352,4.8875,-1.3227,9.8831,9.4108,8.7899,8.4253,8.1106,7.4989,7.4048,7.1376
42,0.438522,3.638,4.875,-1.29,9.7676,9.3009,8.6879,8.3297,8.0187,7.4146,7.3219,7.0579
43,0.448442,3.6413,4.8621,-1.2539,9.6387,9.1786,8.5745,8.2238,7.9173,7.3219,7.2308,6.9704
44,0.458401,3.6451,4.8489,-1.216,9.5013,9.0486,8.4544,8.1118,7.8104,7.2247,7.1351,6.8788
45,0.468149,3.6493,4.8364,-1.1774,9.3575,8.9131,8.33,7.9963,7.7005,7.1253,7.0376,6.786
46,0.477396,3.6538,4.8249,-1.1397,9.2137,8.7784,8.2068,7.8824,7.5925,7.0283,6.9426,6.6961
47,0.486109,3.6582,4.8145,-1.1036,9.0744,8.6486,8.0884,7.773,7.489,6.9358,6.8519,6.6104
48,0.494375,3.6626,4.805,-1.0691,8.9411,8.5244,7.9753,7.6685,7.39,6.8477,6.7655,6.5288
49,0.502428,3.667,4.7958,-1.0355,8.8116,8.4044,7.866,7.5673,7.2943,6.7623,6.6818,6.4497
50,0.510398,3.6715,4.787,-1.0017,8.6811,8.2841,7.7567,7.4661,7.1985,6.677,6.5983,6.3708
51,0.518707,3.6765,4.7783,-0.966,8.542,8.1564,7.6411,7.3591,7.0974,6.5871,6.5103,6.2882
52,0.523832,3.6797,4.7731,-0.9438,8.455,8.0767,7.5693,7.2925,7.0345,6.5314,6.4557,6.2371
53,0.52888,3.6829,4.768,-0.9218,8.3693,7.9986,7.4988,7.2272,6.9727,6.4766,6.402,6.1867
54,0.533847,3.6861,4.7631,-0.9,8.286,7.9228,7.4302,7.1634,6.9123,6.4227,6.3493,6.1369
55,0.538739,3.6893,4.7583,-0.8786,8.2046,7.8488,7.3634,7.101,6.8531,6.3698,6.2975,6.0881
56,0.543571,3.6924,4.7535,-0.8574,8.1246,7.7761,7.2979,7.0398,6.795,6.3178,6.2466,6.0401
57,0.548395,3.6955,4.7487,-0.8364,8.0457,7.7046,7.2333,6.9794,6.7376,6.2666,6.1963,5.9927
58,0.553245,3.6985,4.7437,-0.8153,7.9678,7.6337,7.1694,6.9195,6.6807,6.2155,6.1463,5.9454
59,0.558123,3.7016,4.7387,-0.7942,7.8899,7.5632,7.1058,6.8599,6.6239,6.1645,6.0962,5.8982
60,0.563048,3.7047,4.7336,-0.7729,7.8121,7.4928,7.0423,6.8002,6.5671,6.1134,6.046,5.8509
61,0.567997,3.7079,4.7285,-0.7514,7.734,7.4222,6.9787,6.7405,6.5102,6.0622,5.9959,5.8036
62,0.572955,3.7109,4.7234,-0.73,7.6567,7.3523,6.9158,6.6812,6.4537,6.0114,5.946,5.7565
63,0.577903,3.7141,4.7181,-0.7085,7.5799,7.2827,6.8532,6.6222,6.3976,5.9609,5.8964,5.7096
64,0.582816,3.7171,4.7126,-0.6873,7.5048,7.2146,6.7918,6.5644,6.3423,5.9111,5.8477,5.6635
65,0.587656,3.7202,4.7074,-0.6662,7.4304,7.1472,6.7312,6.5073,6.2879,5.8622,5.7996,5.6182
66,0.592366,3.7231,4.7019,-0.6458,7.3593,7.0825,6.6729,6.4522,6.2353,5.8148,5.7531,5.5743
67,0.596913,3.7259,4.6967,-0.6258,7.29,7.0196,6.6161,6.3988,6.1842,5.7688,5.7079,5.5316
68,0.601257,3.7286,4.6913,-0.6067,7.225,6.9604,6.5626,6.348,6.1357,5.7248,5.6647,5.4906
69,0.605391,3.7312,4.6863,-0.5882,7.1621,6.9029,6.5107,6.2989,6.0888,5.6824,5.6231,5.451
