#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
13,0.108618,3.5457,5.3553,-2.7454,14.7903,14.0128,13.0279,12.4884,12.0775,11.1078,10.9689,10.6136
14,0.118812,3.554,5.3091,-2.6271,14.3429,13.6094,12.6655,12.128,11.7181,10.8116,10.6785,10.3308
15,0.130466,3.5625,5.2627,-2.5063,13.8939,13.2006,12.2977,11.7665,11.3601,10.5073,10.3795,10.0397
16,0.143429,3.5703,5.2208,-2.3918,13.4749,12.8158,11.9503,11.4297,11.0286,10.2169,10.0937,9.7614
17,0.156663,3.5767,5.1874,-2.2944,13.1274,12.4932,11.6573,11.1484,10.7533,9.97,9.8503,9.5238
18,0.169038,3.5817,5.1618,-2.2158,12.8525,12.2361,11.4224,10.9241,10.5344,9.7707,9.6534,9.3313
19,0.180921,3.5858,5.1398,-2.1481,12.6191,12.017,11.2213,10.7325,10.3479,9.5989,9.4836,9.1653
20,0.193455,3.5895,5.1186,-2.0828,12.397,11.8079,11.0288,10.5494,10.1696,9.4335,9.3199,9.0052
21,0.209756,3.5938,5.0935,-2.0059,12.1391,11.5642,10.8034,10.335,9.9611,9.2387,9.1269,8.8164
22,0.232049,3.5986,5.0642,-1.9135,11.8341,11.2747,10.5348,10.0798,9.713,9.0053,8.8957,8.5898
23,0.253125,3.6027,5.041,-1.8364,11.582,11.0346,10.311,9.8671,9.5066,8.8101,8.7022,8.4003
24,0.272054,3.6058,5.0225,-1.7735,11.3802,10.8414,10.1298,9.6945,9.3388,8.6508,8.5442,8.2454
25,0.288316,3.6084,5.0101,-1.7254,11.226,10.6936,9.991,9.5621,9.2099,8.5286,8.4232,8.127
26,0.30132,3.6103,5.002,-1.6904,11.1132,10.5855,9.8893,9.4652,9.1158,8.4394,8.3349,8.0407
27,0.310205,3.6115,4.9976,-1.6687,11.0429,10.518,9.8257,9.4048,9.057,8.3838,8.2798,7.9869
28,0.315969,3.6122,4.9967,-1.6571,11.0056,10.4823,9.7921,9.3726,9.0259,8.3542,8.2506,7.9583
29,0.320139,3.6128,4.9946,-1.6467,10.971,10.4492,9.7613,9.3434,8.9975,8.3277,8.2244,7.9328
30,0.323594,3.6133,4.9919,-1.6373,10.9408,10.4203,9.7339,9.3174,8.9722,8.3036,8.2005,7.9095
31,0.326922,3.6139,4.9919,-1.6309,10.9183,10.3989,9.7142,9.2988,8.9543,8.287,8.1842,7.8938
32,0.330871,3.6145,4.9883,-1.6197,10.8824,10.3644,9.6816,9.2678,8.9242,8.2584,8.156,7.8663
33,0.335465,3.6153,4.9853,-1.6078,10.8427,10.3265,9.646,9.2341,8.8917,8.2279,8.1257,7.8369
34,0.340503,3.6163,4.981,-1.5936,10.7956,10.2815,9.6038,9.194,8.8529,8.1915,8.0898,7.8019
35,0.345887,3.6173,4.9764,-1.5782,10.7446,10.2327,9.558,9.1506,8.8109,8.1522,8.0509,7.764
36,0.351826,3.6184,4.9713,-1.5615,10.6894,10.1801,9.5086,9.1037,8.7656,8.1096,8.0087,7.7232
37,0.358837,3.6197,4.9657,-1.5427,10.6277,10.121,9.4531,9.051,8.7144,8.0615,7.9611,7.6769
38,0.368224,3.6212,4.9583,-1.5182,10.5487,10.0454,9.3818,8.983,8.6483,7.9991,7.8992,7.6167
39,0.418215,3.6318,4.9034,-1.3635,10.0252,9.5459,8.9156,8.5433,8.2241,7.6036,7.5079,7.2368
40,0.426596,3.6342,4.893,-1.3349,9.9251,9.4507,8.8272,8.4603,8.1442,7.53,7.4355,7.1672
41,0.43502,3.6367,4.8815,-1.3048,9.8197,9.3505,8.734,8.3729,8.0603,7.4528,7.3595,7.0941
42,0.444731,3.6399,4.8686,-1.2699,9.6956,9.2326,8.6246,8.2706,7.9622,7.363,7.2712,7.0092
43,0.454788,3.6434,4.8555,-1.2326,9.5611,9.1051,8.5067,8.1606,7.857,7.2671,7.1768,6.9188
44,0.46496,3.6476,4.8422,-1.193,9.4152,8.9674,8.3799,8.0427,7.7446,7.1652,7.0768,6.8232
45,0.47476,3.6521,4.8299,-1.1535,9.2657,8.8273,8.2515,7.9238,7.6318,7.0637,6.9773,6.7289
46,0.48392,3.6568,4.819,-1.1158,9.1209,8.692,8.1281,7.8098,7.5239,6.9671,6.8826,6.6396
47,0.492556,3.6613,4.809,-1.0801,8.9827,8.5632,8.0107,7.7014,7.4212,6.8756,6.7929,6.5548
48,0.500898,3.6658,4.7996,-1.0455,8.8495,8.4395,7.8981,7.5972,7.3227,6.7877,6.7068,6.4733
49,0.509027,3.6703,4.7907,-1.0116,8.7182,8.3183,7.7879,7.4951,7.226,6.7016,6.6225,6.3937
50,0.51728,3.6752,4.782,-0.9764,8.5816,8.1927,7.6741,7.3898,7.1264,6.6131,6.5357,6.3122
51,0.525977,3.6806,4.7733,-0.9389,8.4351,8.0588,7.5532,7.2778,7.0206,6.5194,6.444,6.2262
