#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=13.000 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
13,0.105108,3.5427,5.3714,-2.7877,14.9524,14.1577,13.1581,12.6186,12.208,11.2131,11.072,10.7139
14,0.114995,3.551,5.3253,-2.6695,14.5025,13.7538,12.7952,12.2565,11.846,10.918,10.7829,10.4324
15,0.12601,3.5594,5.2789,-2.5497,14.0545,13.3472,12.4296,11.8955,11.4875,10.6168,10.4871,10.1445
16,0.138207,3.5674,5.2355,-2.4342,13.6294,12.9581,12.079,11.5539,11.1506,10.3247,10.1998,9.8648
17,0.1508,3.5741,5.2,-2.3338,13.2674,12.6234,11.7758,11.2618,10.8642,10.07,9.9488,9.62
18,0.162798,3.5794,5.1726,-2.2521,12.9793,12.3548,11.5309,11.0275,10.6354,9.8628,9.7445,9.4203
19,0.174158,3.5837,5.1501,-2.1834,12.7414,12.1317,11.3266,10.8326,10.4453,9.6887,9.5724,9.252
20,0.185727,3.5874,5.1294,-2.1198,12.5235,11.927,11.1385,10.6535,10.271,9.5276,9.4129,9.0962
21,0.199186,3.5912,5.1073,-2.0523,12.2952,11.7117,10.9398,10.4646,10.0872,9.3564,9.2435,8.9305
22,0.219293,3.596,5.0784,-1.9626,11.9964,11.4288,10.6777,10.2155,9.8449,9.1294,9.0186,8.7103
23,0.24297,3.6008,5.0505,-1.8711,11.6952,11.1426,10.4118,9.9629,9.5995,8.8981,8.7894,8.4857
24,0.263286,3.6044,5.0294,-1.8004,11.4667,10.9242,10.2077,9.7687,9.4108,8.7192,8.612,8.3118
25,0.28119,3.6073,5.0143,-1.7448,11.2882,10.7533,10.0471,9.6156,9.262,8.578,8.4721,8.1748
26,0.296001,3.6095,5.0044,-1.7035,11.1553,10.6259,9.9272,9.5014,9.151,8.4727,8.3678,8.0728
27,0.306726,3.6111,4.9986,-1.676,11.0669,10.541,9.8475,9.4254,9.0771,8.4028,8.2987,8.0052
28,0.313645,3.6119,4.9968,-1.6614,11.0195,10.4956,9.8046,9.3846,9.0375,8.3653,8.2615,7.969
29,0.318415,3.6127,4.9948,-1.6499,10.9814,10.4593,9.7707,9.3525,9.0064,8.3359,8.2326,7.9408
30,0.322083,3.6132,4.9922,-1.6402,10.9503,10.4294,9.7426,9.3256,8.9803,8.3112,8.2081,7.9169
31,0.325339,3.6137,4.9923,-1.6341,10.9284,10.4087,9.7233,9.3076,8.9629,8.2952,8.1922,7.9016
32,0.329007,3.6142,4.989,-1.6237,10.8954,10.377,9.6934,9.2791,8.9352,8.2689,8.1663,7.8762
33,0.33335,3.615,4.9863,-1.6126,10.8583,10.3415,9.6602,9.2475,8.9047,8.2403,8.1379,7.8488
34,0.338153,3.6159,4.9823,-1.5992,10.8138,10.2989,9.6202,9.2096,8.868,8.2058,8.1039,7.8156
35,0.343273,3.6169,4.9779,-1.5846,10.7652,10.2525,9.5767,9.1684,8.8281,8.1684,8.0669,7.7796
36,0.348828,3.618,4.9731,-1.5688,10.7131,10.2027,9.5299,9.1241,8.7852,8.1282,8.0271,7.741
37,0.355161,3.6192,4.9681,-1.5515,10.6562,10.1483,9.4789,9.0756,8.7383,8.0841,7.9835,7.6987
38,0.363099,3.6204,4.962,-1.5309,10.5893,10.0843,9.4185,9.0181,8.6824,8.0314,7.9313,7.6479
39,0.392244,3.6256,4.9332,-1.4468,10.313,9.82,9.1706,8.7829,8.4547,7.8173,7.719,7.441
40,0.415486,3.6314,4.9049,-1.3696,10.0461,9.5659,8.9342,8.5609,8.2409,7.6192,7.5234,7.2518
41,0.42393,3.6338,4.8932,-1.3398,9.9431,9.4677,8.8429,8.4749,8.1583,7.5428,7.448,7.1791
42,0.432597,3.6363,4.8812,-1.3088,9.835,9.3647,8.7471,8.385,8.0719,7.4632,7.3697,7.1037
